id,region,kommun_namn,age_group,population,num_minst_1_dos,num_fully_vaccinated,proportion_of_minst_1_dos,proportion_of_fully_vaccinated
58,Stockholm,Huddinge,50-59,15038,12681,12181,0.843263732,0.81001463
59,Stockholm,Huddinge,60-69,9926,8547,8271,0.861071932,0.83326617
60,Stockholm,Huddinge,70-79,7698,7029,6844,0.91309431,0.889062094
61,Stockholm,Huddinge,80-89,3412,3145,3048,0.921746776,0.893317702
62,Stockholm,Huddinge,>=90,757,676,646,0.8929986790000001,0.85336856
65,Stockholm,Botkyrka,30-39,13668,7654,6402,0.559994147,0.468393327
66,Stockholm,Botkyrka,40-49,13883,9394,8551,0.676654902,0.615933156
67,Stockholm,Botkyrka,50-59,12213,9550,9104,0.7819536559999999,0.7454351920000001
68,Stockholm,Botkyrka,60-69,8563,6898,6619,0.805558799,0.77297676
69,Stockholm,Botkyrka,70-79,6823,6016,5801,0.881723582,0.8502125159999999
70,Stockholm,Botkyrka,80-89,2823,2499,2374,0.88522848,0.840949345
71,Stockholm,Botkyrka,>=90,552,471,444,0.85326087,0.804347826
74,Stockholm,Salem,30-39,2004,1417,1223,0.707085828,0.610279441
75,Stockholm,Salem,40-49,2411,1999,1897,0.8291165490000001,0.786810452
76,Stockholm,Salem,50-59,2357,2091,2022,0.887144675,0.8578701740000001
77,Stockholm,Salem,60-69,1336,1177,1131,0.8809880240000001,0.8465568859999999
78,Stockholm,Salem,70-79,1503,1426,1394,0.948769128,0.927478377
79,Stockholm,Salem,80-89,814,787,739,0.9668304670000001,0.907862408
80,Stockholm,Salem,>=90,155,140,130,0.9032258059999999,0.838709677
83,Stockholm,Haninge,30-39,14360,9657,8382,0.672493036,0.583704735
84,Stockholm,Haninge,40-49,13332,10086,9426,0.756525653,0.707020702
85,Stockholm,Haninge,50-59,11757,9903,9509,0.842306711,0.8087947609999999
86,Stockholm,Haninge,60-69,7953,6861,6642,0.862693323,0.835156545
87,Stockholm,Haninge,70-79,7483,6857,6659,0.916343712,0.8898837359999999
88,Stockholm,Haninge,80-89,3153,2874,2731,0.911512845,0.866159213
89,Stockholm,Haninge,>=90,525,472,434,0.8990476190000001,0.826666667
92,Stockholm,Tyresö,30-39,5827,4509,4018,0.773811567,0.689548653
93,Stockholm,Tyresö,40-49,6977,6021,5698,0.862978357,0.816683388
94,Stockholm,Tyresö,50-59,7293,6483,6287,0.888934595,0.8620595090000001
95,Stockholm,Tyresö,60-69,4352,3891,3791,0.894071691,0.87109375
96,Stockholm,Tyresö,70-79,4093,3880,3753,0.9479599320000001,0.9169313459999999
97,Stockholm,Tyresö,80-89,2139,2037,1937,0.952314165,0.9055633470000001
98,Stockholm,Tyresö,>=90,432,395,355,0.914351852,0.821759259
101,Stockholm,Upplands-Bro,30-39,4478,3100,2719,0.692273336,0.60719071
102,Stockholm,Upplands-Bro,40-49,4229,3359,3144,0.794277607,0.743438165
103,Stockholm,Upplands-Bro,50-59,3705,3153,3023,0.851012146,0.8159244259999999
104,Stockholm,Upplands-Bro,60-69,2697,2365,2293,0.87690026,0.85020393
105,Stockholm,Upplands-Bro,70-79,2516,2345,2289,0.932034976,0.9097774240000001
106,Stockholm,Upplands-Bro,80-89,942,882,860,0.936305732,0.912951168
107,Stockholm,Upplands-Bro,>=90,198,182,171,0.9191919190000001,0.8636363640000001
110,Stockholm,Nykvarn,30-39,1374,1149,1042,0.8362445409999999,0.7583697229999999
111,Stockholm,Nykvarn,40-49,1641,1421,1356,0.865935405,0.8263254109999999
112,Stockholm,Nykvarn,50-59,1621,1494,1452,0.9216533000000001,0.895743368
113,Stockholm,Nykvarn,60-69,1043,973,953,0.932885906,0.9137104509999999
114,Stockholm,Nykvarn,70-79,1029,980,965,0.9523809520000001,0.937803693
115,Stockholm,Nykvarn,80-89,436,410,397,0.9403669720000001,0.9105504590000001
116,Stockholm,Nykvarn,>=90,51,47,44,0.9215686270000001,0.862745098
119,Stockholm,Täby,30-39,7829,6768,6229,0.864478222,0.7956316259999999
120,Stockholm,Täby,40-49,10508,9584,9247,0.912066997,0.879996193
121,Stockholm,Täby,50-59,10473,9714,9492,0.927527929,0.906330564
122,Stockholm,Täby,60-69,6630,6202,6047,0.935444947,0.912066365
123,Stockholm,Täby,70-79,7011,6691,6517,0.954357438,0.929539295
124,Stockholm,Täby,80-89,3572,3437,3323,0.962206047,0.930291153
125,Stockholm,Täby,>=90,871,812,768,0.9322617679999999,0.8817451209999999
128,Stockholm,Danderyd,30-39,2925,2380,2180,0.8136752140000001,0.745299145
129,Stockholm,Danderyd,40-49,4457,4063,3919,0.9115997309999999,0.879291003
130,Stockholm,Danderyd,50-59,4804,4438,4323,0.923813489,0.899875104
131,Stockholm,Danderyd,60-69,3084,2857,2783,0.926394293,0.9023994809999999
132,Stockholm,Danderyd,70-79,3098,2969,2889,0.958360232,0.932537121
133,Stockholm,Danderyd,80-89,1795,1714,1618,0.954874652,0.901392758
134,Stockholm,Danderyd,>=90,573,522,453,0.910994764,0.790575916
137,Stockholm,Sollentuna,30-39,9619,7503,6780,0.7800187129999999,0.704854975
138,Stockholm,Sollentuna,40-49,10764,9198,8792,0.85451505,0.81679673
139,Stockholm,Sollentuna,50-59,10452,9384,9146,0.897818599,0.875047838
140,Stockholm,Sollentuna,60-69,6866,6165,5985,0.897902709,0.871686572
141,Stockholm,Sollentuna,70-79,5778,5448,5335,0.942886812,0.923329872
142,Stockholm,Sollentuna,80-89,2802,2646,2534,0.944325482,0.904354033
143,Stockholm,Sollentuna,>=90,660,606,571,0.918181818,0.865151515
146,Stockholm,Stockholm,30-39,179202,136743,124460,0.76306626,0.6945234990000001
147,Stockholm,Stockholm,40-49,136356,110914,104709,0.813414885,0.767909003
148,Stockholm,Stockholm,50-59,120627,104364,100417,0.865179437,0.832458736
149,Stockholm,Stockholm,60-69,95689,84962,82164,0.88789725,0.85865669
150,Stockholm,Stockholm,70-79,73035,66966,65012,0.916902855,0.890148559
151,Stockholm,Stockholm,80-89,30347,27974,26697,0.921804462,0.87972452
152,Stockholm,Stockholm,>=90,9577,8607,7996,0.898715673,0.8349169890000001
155,Stockholm,Södertälje,30-39,14748,8258,7010,0.5599403310000001,0.475318687
156,Stockholm,Södertälje,40-49,13284,8828,8072,0.664558868,0.607648299
157,Stockholm,Södertälje,50-59,13461,10699,10186,0.79481465,0.756704554
158,Stockholm,Södertälje,60-69,9835,8221,7904,0.835892222,0.803660397
159,Stockholm,Södertälje,70-79,7669,6989,6768,0.9113313340000001,0.882514017
160,Stockholm,Södertälje,80-89,3964,3640,3423,0.918264379,0.863521695
161,Stockholm,Södertälje,>=90,823,733,674,0.890643985,0.818955043
164,Stockholm,Nacka,30-39,13707,11173,10041,0.815130955,0.732545415
165,Stockholm,Nacka,40-49,16023,14092,13450,0.879485739,0.8394183359999999
166,Stockholm,Nacka,50-59,14605,13205,12769,0.904142417,0.874289627
167,Stockholm,Nacka,60-69,9665,8869,8615,0.9176409729999999,0.8913605790000001
168,Stockholm,Nacka,70-79,9007,8570,8329,0.9514821809999999,0.9247252140000001
169,Stockholm,Nacka,80-89,3797,3615,3431,0.952067422,0.903608112
170,Stockholm,Nacka,>=90,1011,958,901,0.947576657,0.891196835
173,Stockholm,Sundbyberg,30-39,11649,8399,7539,0.721006095,0.647180015
174,Stockholm,Sundbyberg,40-49,7315,5694,5329,0.778400547,0.728503076
175,Stockholm,Sundbyberg,50-59,5822,4982,4813,0.8557196840000001,0.826691858
176,Stockholm,Sundbyberg,60-69,4662,4075,3945,0.8740883740000001,0.8462033459999999
177,Stockholm,Sundbyberg,70-79,3325,3030,2936,0.911278195,0.8830075190000001
178,Stockholm,Sundbyberg,80-89,1279,1181,1130,0.923377639,0.883502737
179,Stockholm,Sundbyberg,>=90,363,326,301,0.898071625,0.8292011020000001
182,Stockholm,Solna,30-39,18519,13966,12783,0.754144392,0.6902640529999999
183,Stockholm,Solna,40-49,11018,8973,8516,0.814394627,0.772917045
184,Stockholm,Solna,50-59,8953,7851,7595,0.876912767,0.8483189990000001
185,Stockholm,Solna,60-69,7285,6453,6236,0.885792725,0.8560054909999999
186,Stockholm,Solna,70-79,6322,5757,5582,0.910629548,0.882948434
